g,lr,rv,qi,r,p
0.1565,0.02165,0.545483207981,-3.75460569585,27,261
0.95819,0.20824,0.293725614066,-3.61352801883,15,145
0.42757,0.41847,0.861052569856,-2.87265790212,51,417
0.02654,0.8559,0.712906851349,-4.43625945943,59,365
0.73683,0.55902,0.554353903444,3.38256184693,70,234
0.96167,0.9457,0.307777068031,4.0499570547,30,186
0.16842,0.1407,0.0118840427693,-4.71140178194,1,188
0.74559,0.53129,0.522643328477,-0.0120982535792,80,256
0.15923,0.56911,0.982811243006,-3.93574812499,44,524
0.21968,0.86252,0.316262059687,1.84468407885,87,103
0.3582,0.72499,0.180045284853,-0.00333053716792,81,61
0.44503,0.29922,0.331088646048,4.57254325044,89,114
0.97238,0.22806,0.589049336708,0.946448441425,33,271
0.52088,0.68652,0.535753697291,0.0648172864486,68,208
0.61871,0.28923,0.0803154518478,1.19471224999,77,41
0.22595,0.75069,0.497788361157,0.182991651408,77,204
0.22926,0.70749,0.123834402643,2.1597963832,94,35
0.00474,0.9556,0.169559180355,-3.78752999628,90,72
0.10624,0.94194,0.690387895639,0.294640305916,64,333
0.76806,0.11044,0.421392444266,2.96909269289,75,184
0.32438,0.44545,0.642443682555,-4.49733427254,66,295
0.29432,0.01374,0.75263930503,-1.49751537658,48,400
0.18547,0.85317,0.783176290128,1.94019736735,59,371
0.46157,0.8626,0.21692256793,2.37298373982,95,86
0.22119,0.49883,0.513643323303,1.58343856733,76,224
0.9884,0.13004,0.465626304655,3.2690097927,14,260
0.75652,0.09278,0.253220868495,-2.00644191189,26,102
0.41121,0.04237,0.151728763546,1.57669891906,98,44
0.37777,0.20969,0.0565843204845,-1.31609064186,24,34
0.0335,0.47994,0.501216814009,4.01016616606,75,246
0.00169,0.73342,0.919964580741,3.51301135751,45,490
0.19809,0.13209,0.865314623798,2.33592532482,54,437
0.59699,0.91438,0.947019373721,-2.00725540927,39,497
0.5141,0.0185,0.447394097256,2.42721989953,80,175
0.03956,0.3126,0.656462358641,-3.66937065342,65,300
0.54207,0.93818,0.607441803532,-2.56381798073,71,272
0.7484,0.92385,0.421962989627,-1.5546568265,78,190
0.0559,0.17532,0.966854310244,1.05618096607,41,539
0.34588,0.02586,0.314285984698,-1.76013679301,49,143
0.29699,0.93318,0.991180944956,-3.31248409091,49,440
0.85732,0.20827,0.858715218658,-4.63089224629,43,478
0.38062,0.14969,0.853951019681,0.80843692471,54,412
0.18747,0.0607,0.479841305355,-4.2660975362,23,266
0.46339,0.47588,0.599180077722,4.16623823167,70,273
0.63126,0.69879,0.416773733981,2.67545655342,77,203
0.85606,0.26399,0.311883149821,1.90479163383,79,113
0.98967,0.44785,0.841453455372,1.04836866682,19,434
0.89399,0.30005,0.121210218118,3.2641118191,33,71
0.49033,0.55007,0.749174992778,-3.93700717628,59,386
0.07009,0.426,0.380971507376,-0.421067374867,88,152
0.26557,0.59751,0.146616428702,4.89708492343,96,66
0.74638,0.88045,0.588906867296,-4.77842826397,71,276
0.49308,0.13568,0.11031764107,0.267597326498,41,52
0.68861,0.25553,0.973483160579,0.115891661484,47,531
0.58264,0.40804,0.354993659275,4.07024634381,84,142
0.92552,0.16867,0.877229444154,-3.95595124802,29,482
0.31021,0.27301,0.343924816328,3.85145595196,85,122
0.66768,0.78244,0.192705931649,-4.8852337248,91,74
0.3765,0.06526,0.404220907722,-3.19748582814,60,178
0.22885,0.19179,0.0492049912305,-1.04933649606,64,38
0.67624,0.64049,0.49461282034,3.66215016375,76,261
0.60901,0.61775,0.520775014011,-1.65811660103,75,218
0.8369,0.92685,0.129573436461,3.82951427691,95,48
0.58747,0.07287,0.0636082651575,2.72658333138,99,21
0.52591,0.43805,0.226819800721,-0.779299405074,92,63
0.1743,0.83463,0.359205060445,3.59395350987,87,130
0.89075,0.19877,0.431898727132,-4.5245830302,49,217
0.66613,0.74695,0.44871163766,-4.35378984283,83,166
0.93181,0.17518,0.0692418571022,-3.68244411325,52,72
0.29647,0.06969,0.823270445842,-0.290656562659,49,430
0.40495,0.35734,0.0578622129521,3.86211955954,100,31
0.15711,0.0456,0.527853294745,-0.220378138557,68,233
0.11419,0.53438,0.117682789725,1.6372348284,93,43
0.14121,0.60984,0.874417038949,-3.35838653716,52,434
0.03817,0.53131,0.954584374119,4.59577049871,49,515
0.37572,0.72523,0.163383788952,-0.211270734095,93,55
0.81785,0.4387,0.932311333612,-0.256136717853,41,531
0.84455,0.95825,0.958781743479,-2.14157625048,21,515
0.94845,0.01161,0.422211335512,-4.95511122409,74,155
0.00625,0.93759,0.893698747468,1.98928244351,49,439
0.12695,0.66215,0.65025603352,4.55230369516,66,318
0.30782,0.27367,0.474402398471,-4.5683256538,78,193
0.59363,0.97497,0.408038417108,3.8890164316,71,197
0.83423,0.1286,0.778615806577,-4.28068539544,56,364
0.1255,0.58629,0.43345511011,3.33384194178,85,128
0.33756,0.70983,0.523132045099,0.391200011039,79,223
0.31308,0.59972,0.286909205824,-4.2863624584,84,97
0.84265,0.62713,0.606095270898,-1.26127693229,66,255
0.22037,0.81856,0.790459812109,1.15070150457,16,434
0.85249,0.11068,0.463739338764,-4.60856166473,23,226
0.45374,0.35249,0.644150348369,2.12911747032,68,303
0.54081,0.60206,0.688947602593,1.7210261055,61,343
0.47513,0.79077,0.208053189412,-1.06836573829,87,75
0.66358,0.92528,0.164791999061,2.862611263,73,66
0.78339,0.96171,0.358302716435,0.00728144042179,77,160
0.53582,0.81751,0.343037241409,0.779239653387,74,155
0.20631,0.4921,0.142951214933,3.99701203469,95,48
0.06333,0.29654,0.749399020974,3.35854980571,63,353
0.79923,0.23124,0.164159643371,0.295297110661,41,89
0.91181,0.28025,0.927043081786,1.3252175806,41,526
0.02182,0.96969,0.3896344669,2.83874743594,83,135
0.63801,0.09348,0.907659936025,-2.02655999689,47,487
0.60915,0.87471,0.646929962335,0.379932041563,63,283
0.72264,0.48687,0.902227441881,4.80504185523,49,422
0.33175,0.45358,0.519090841946,0.345759182487,82,209
0.1456,0.08707,0.0512280630523,-3.6352371485,43,42
0.99744,0.85033,0.997069046404,-2.72860590902,14,557
0.19444,0.97531,0.786497032733,-4.77552206714,52,414
0.49322,0.21234,0.584830277825,4.35221612594,73,268
0.39992,0.59843,0.512560690934,-0.245454393859,68,237
0.57848,0.97377,0.151353755311,0.76288971562,90,81
0.5656,0.67296,0.307357353429,-2.03752119287,84,130
0.10719,0.85459,0.171736243917,-3.74731433122,91,80
0.32908,0.74613,0.63369702526,-3.24438003537,67,278
0.40988,0.87533,0.411815058575,-1.90441256429,80,212
0.62494,0.5647,0.3181373503,1.88472597985,83,139
0.30954,0.62873,0.0137758914274,0.985450085905,88,17
0.75484,0.42107,0.357585422647,-0.78644174634,81,149
0.65703,0.93559,0.488347926199,-0.228368794614,70,208
0.91246,0.82299,0.992073488971,1.67546562395,17,480
0.16322,0.97481,0.387866014368,3.63586213996,90,133
0.37104,0.55517,0.265648462423,2.55530140722,91,99
0.79907,0.47649,0.773980419375,-4.1101246831,57,389
0.85716,0.1439,0.875360512189,1.27697332376,45,411
0.85861,0.2949,0.191669696102,3.15884310101,74,84
0.86975,0.1062,0.84028634697,-1.93078418895,47,447
0.59748,0.11516,0.957664681854,-4.26336494725,47,506
0.54328,0.76286,0.35653086406,2.70168435042,84,160
0.09181,0.72738,0.73601937544,-1.10507768135,57,342
0.18748,0.27353,0.107185576522,-2.95122716223,65,280
0.05255,0.97493,0.480615049627,4.1783732174,83,165
0.44758,0.40025,0.916647542687,2.04993177072,46,520
0.27048,0.95907,0.198949706534,2.49787168104,61,62
0.58168,0.03788,0.0803683176613,-1.24777600713,60,28
0.86128,0.55512,0.738033644521,4.8182044858,57,327
0.17801,0.4475,0.877935155906,1.23960295341,45,474
0.09622,0.57899,0.937239799027,-3.46012584902,48,457
0.6493,0.98356,0.929999048494,-4.83940744911,48,427
0.16706,0.51225,0.993540506778,-2.68904396053,49,472
0.98443,0.45148,0.0304010678863,-3.51010276362,2,34
0.64937,0.00281,0.817605695317,0.479466590562,50,399
0.3433,0.32417,0.131539588654,-3.67499051426,79,129
0.12426,0.08484,0.526352128408,-1.22035258217,74,233
0.71251,0.83307,0.603135007144,3.54643025652,65,305
0.92105,0.99246,0.203189156136,-0.643602524963,33,124
0.40008,0.34466,0.849299132371,0.539711803858,52,432
0.53482,0.61579,0.634056286721,-4.28215720952,64,303
0.68957,0.50662,0.875441981385,2.65924396758,48,413
0.19118,0.86828,0.600931877071,2.1328541407,66,282
0.57305,0.53958,0.622439590299,0.409060238368,65,301
0.41159,0.17591,0.537495155547,-2.18900800089,70,220
0.97442,0.15206,0.452049426986,-1.98798609385,9,242
0.70883,0.72111,0.321267810201,1.7794863509,83,150
0.81515,0.80073,0.577063821044,-4.32382016751,46,283
0.12609,0.9348,0.287580140683,-0.419827463195,88,94
0.10791,0.95256,0.812705238566,4.87130756121,53,390
0.31486,0.1447,0.766796763173,-1.70745633964,55,344
0.41818,0.30925,0.271132789221,2.26488321683,91,101
0.37276,0.37702,0.247563235736,-3.77642944427,86,100
0.53907,0.61793,0.0767159766067,0.278211925653,87,29
0.94033,0.34881,0.358480274241,4.88009722239,38,191
0.19242,0.95172,0.837353871845,-2.98956167281,51,395
0.11154,0.89672,0.112431665547,-3.3496083474,98,72
0.69428,0.90356,0.242967996091,-0.992874710482,83,95
0.49564,0.31522,0.741214729033,-1.02482280591,64,322
0.02145,0.15406,0.891612957156,3.85488272355,46,465
0.81012,0.26679,0.886170458731,-3.12733154027,44,513
0.65421,0.02382,0.734432409467,1.06514551663,60,393
0.07629,0.60118,0.088074885602,4.43981946528,99,30
0.41841,0.29039,0.304789330087,3.91848659408,93,103
0.91277,0.30581,0.720546486972,-2.2654744815,33,344
0.12179,0.69196,0.37906848964,2.75302768697,82,134
0.5637,0.50663,0.777431199507,4.739648687,55,420
0.20954,0.35512,0.161075986079,0.0333538698612,83,46
0.75102,0.21105,0.551229661108,3.42424165563,78,238
0.02928,0.71631,0.795650433105,-1.93959710443,57,397
0.824,0.44168,0.0882821346734,-3.88544893233,74,198
0.92298,0.57667,0.682042989245,3.7420564748,42,339
0.64118,0.72938,0.675951823577,4.87754757141,65,291
0.65353,0.43824,0.670488485877,4.06693897499,65,294
0.96955,0.95794,0.0452409807809,-0.70493660759,8,155
0.83044,0.86011,0.923574597559,4.60829920019,43,486
0.63183,0.67352,0.970092729444,-4.36579317596,50,529
0.13966,0.31865,0.704638497193,0.917025718655,65,299
0.46942,0.10172,0.661418686837,-4.07022826509,60,335
0.83718,0.21266,0.570810859841,4.31131421221,63,270
0.24377,0.55277,0.273249090807,1.91210124731,92,83
0.64875,0.78833,0.996712545283,0.0273790853086,49,473
0.55061,0.54081,0.26795227731,0.702454736196,93,98
0.71296,0.84579,0.85058772074,-0.378665662324,53,371
0.29129,0.47535,0.10791918778,-3.31090441415,76,205
0.40167,0.99178,0.489762334385,3.66435203629,80,227
0.20214,0.35695,0.114142211118,-1.0464374843,90,54
0.23036,0.70167,0.00151498185151,-3.68181667892,0,1521
0.90015,0.54722,0.952467418056,-0.617559331334,20,505
0.29808,0.5648,0.387246252367,-1.86660203217,88,154
0.68733,0.85376,0.74254897569,-1.91000901101,58,358
0.73269,0.12439,0.567743900457,4.90781099769,68,256
0.63652,0.04792,0.0031535433933,1.88006025738,100,4
0.05408,0.50046,0.932740154387,-1.17893035055,55,476
0.26746,0.8452,0.690911799083,-4.58458033887,64,340
0.92187,0.84568,0.771075527161,-0.958833451665,32,343
0.32125,0.7209,0.604331048426,2.30365233344,68,296
0.17205,0.78422,0.60089871325,-3.0580757139,68,255
0.20843,0.21508,0.53662947698,-1.96283979772,70,243
0.05121,0.85513,0.10054662457,-0.962125934423,98,25
0.72512,0.40924,0.568667362209,-1.11930471367,72,289
0.99735,0.64601,0.232502304163,3.18328487102,8,173
0.64693,0.14396,0.902523474428,-4.50283449499,45,468
0.14086,0.27318,0.461869608789,3.46178545186,87,185
0.06721,0.08236,0.262948449648,-1.06064019653,72,128
0.69398,0.50281,0.258897105025,-4.13203517026,75,127
0.57022,0.31499,0.779615612186,-4.46961746598,54,434
0.49412,0.91377,0.270099708505,1.13527712705,87,121
0.25818,0.73115,0.0544280411087,-3.88726659604,91,40
0.706,0.59731,0.901739971493,-4.25599884614,52,426
0.94188,0.03188,0.365400516158,2.14273386825,87,138
0.61199,0.34686,0.540610092431,-2.90793218633,81,198
0.59157,0.33901,0.830717397042,-3.02276483876,53,436
0.70661,0.48843,0.979550886215,-0.444513128061,44,469
0.97462,0.98693,0.432081340412,1.20516883521,33,199
0.7659,0.62032,0.824372726308,-1.34931131956,52,411
0.32378,0.12215,0.0645912906456,4.73107962366,94,51
0.37374,0.59894,0.0757403064917,2.34731717056,97,26
0.03161,0.23898,0.536929616479,-3.46582514415,70,235
0.81159,0.75835,0.0810006703949,2.63489168246,83,30
0.86852,0.27575,0.417258158889,-1.70257805254,61,184
0.34928,0.19971,0.133725030571,-3.65925382643,77,133
0.34331,0.38484,0.39173459751,4.73192541267,92,158
0.22726,0.36895,0.752729360252,2.09026778028,59,379
0.19463,0.00331,0.61661068456,-4.15057955589,13,297
0.71578,0.77623,0.745847249646,0.559024473847,57,337
0.8552,0.51776,0.526615440725,1.63328963996,77,237
0.31553,0.99781,0.294950797716,-3.30163814669,83,111
0.68859,0.56391,0.213283723427,4.94041468544,94,69
0.94605,0.56349,0.41718491501,-4.21401299711,27,247
0.85144,0.03214,0.871179984513,-1.53409549745,52,414
0.14249,0.76069,0.537915059555,-4.30843639543,72,230
0.93018,0.83276,0.523608084478,-1.34597021912,28,258
0.7517,0.6369,0.588346764925,-1.79315726694,77,288
0.96478,0.90178,0.249753161961,1.70472306579,23,161
0.19207,0.14356,0.771104285462,4.85853512772,62,399
0.11244,0.97061,0.578683095624,1.55697388019,75,254
0.34469,0.2679,0.536189189931,-1.59506866608,81,192
0.76602,0.83395,0.708377662604,0.0588998882453,51,364
0.39718,0.84105,0.300433588091,-3.55568423742,93,123
0.66132,0.98093,0.175017041355,-1.50504371229,83,81
0.50157,0.52072,0.701433722193,-4.8765513258,60,307
0.75621,0.91353,0.275029282006,-1.92465162802,91,130
0.56937,0.51166,0.785758553782,2.5102775251,59,376
0.51553,0.10047,0.29267381504,-3.55518316574,67,257
0.25248,0.4908,0.510650760789,3.11293439627,77,197
0.66242,0.52536,0.857323690268,0.0993327373357,55,437
0.65663,0.55237,0.614018351255,-4.87767963237,64,261
0.5654,0.2037,0.0416563188136,3.99137101989,100,16
0.21725,0.8203,0.580883907209,-0.714952754714,73,251
0.69391,0.54574,0.517896671729,-0.27464809729,75,198
0.60189,0.53263,0.799994628575,-3.41449949185,56,386
0.18598,0.42842,0.888487027305,3.27342570649,42,489
0.73611,0.45047,0.483414811736,1.33732531108,76,180
0.10298,0.12854,0.500270983685,2.28760264031,78,213
0.44248,0.8862,0.411106886464,4.23452755465,87,141
0.16994,0.52281,0.491106637674,-2.12915136244,76,200
0.48824,0.31632,0.0622346039179,3.52687628993,98,25
0.99469,0.62974,0.381061515259,-2.06232256496,15,276
0.50525,0.02406,0.387999209354,-3.54970080213,64,192
0.10115,0.85967,0.7745338612,2.40237012429,56,372
0.7185,0.14546,0.78123090538,3.65200910361,50,363
0.06913,0.45542,0.669346797099,4.47248210907,67,277
0.75772,0.4528,0.393318369074,-4.46760181667,86,165
0.95461,0.89928,0.573833163986,1.14315479457,25,307
0.31778,0.90022,0.157376057566,-0.770096972332,93,64
0.26421,0.77174,0.369498527355,-1.0660651136,86,145
0.00105,0.62889,0.288342914298,3.38398822231,94,89
0.28853,0.94732,0.811172262124,1.96426266029,51,387
0.69848,0.99386,0.252183552064,3.11583834429,58,155
0.16584,0.52314,0.355058688696,3.22243648551,94,128
0.22861,0.0084,0.472939041396,-0.0420159450093,58,218
0.04325,0.51432,0.780440794206,-2.13103048408,53,395
0.40899,0.73314,0.708908053958,3.34813565908,63,350
0.01866,0.89237,0.575375526719,-2.67788683104,72,281
0.14939,0.0167,0.101525845474,-4.95282407304,26,509
0.48426,0.84958,0.174405656175,-3.97561356285,91,84
0.12939,0.84906,0.121841804086,3.33787679929,98,49
0.34831,0.89282,0.869509845989,3.75357335476,46,447
0.19305,0.46391,0.873429841004,-3.23721840944,46,477
0.2276,0.56137,0.789676732833,-2.74637313453,57,374
0.17212,0.23997,0.668817912047,-1.3218548912,70,305
0.52851,0.72206,0.445963609074,-4.67743549076,76,196
0.74488,0.66361,0.335016812151,3.15597483259,86,137
0.50262,0.35817,0.747660953798,0.310128278222,62,368
0.58557,0.56308,0.296757354841,2.27647190148,89,103
0.24117,0.44943,0.22052711169,1.5070446521,93,76
0.0622,0.95236,0.695379003266,-0.221709778117,64,332
0.01736,0.57597,0.247516049459,3.6555781437,93,105
0.80524,0.28311,0.980860050966,-1.40522912377,44,492
0.72402,0.83484,0.721861064359,0.493508721519,58,323
0.5751,0.697,0.603460512456,-1.87396273003,67,281
0.60584,0.87849,0.402024884185,3.06445272599,71,185
0.94843,0.79864,0.758113070693,2.59246604626,22,376
0.59146,0.19244,0.377777114968,-1.53460791473,72,182
0.08691,0.78876,0.695374174774,-2.3861134235,61,323
0.8016,0.60042,0.479567586059,0.28876437917,72,221
0.58456,0.94876,0.997555471579,0.105793877397,46,514
0.78395,0.9845,0.243807677038,-4.7579353141,92,120
0.84047,0.38938,0.167807057701,1.52200301763,79,79
0.38058,0.7787,0.939998847335,-1.70687687539,50,492
0.40115,0.06713,0.885639268907,2.80049856458,55,437
0.75754,0.61531,0.695754466864,-3.8136419521,65,335
0.26694,0.48416,0.46636201834,-0.601808535144,81,191
0.74315,0.28512,0.533217714473,3.80621187163,70,278
0.73004,0.91412,0.452534957538,-4.44719261369,78,188
0.08517,0.36918,0.235342774758,-4.23444863548,90,117
0.37655,0.21572,0.219396309464,4.8610124902,97,68
0.63167,0.42021,0.520625926097,4.51838589532,77,186
0.64688,0.73452,0.448423322979,0.542963449735,74,191
0.63314,0.41755,0.388732294127,-1.74399363517,79,196
0.82501,0.35505,0.365857048573,-0.846797347389,77,134
0.39023,0.51034,0.606921813938,-4.0485483695,74,252
0.47994,0.24584,0.284209293129,3.18619303661,89,124
0.14345,0.16881,0.714021027119,4.868573702,60,348
0.32138,0.00772,0.81074888253,3.741253347,47,376
0.4149,0.10147,0.348375244956,4.43520333527,88,120
0.53951,0.40224,0.925905126728,-0.54126586288,46,511
0.27683,0.62527,0.581367158616,3.95673975874,69,252
0.30192,0.56498,0.659119393805,-2.37762295418,67,276
0.49587,0.91825,0.0310883856781,3.83879166942,89,129
0.74306,0.22174,0.255815798603,1.50642133142,90,86
0.18267,0.64388,0.87654946156,1.66995840033,42,472
0.14351,0.27328,0.636534361692,-0.356404777935,68,320
0.33154,0.19691,0.0661580156406,-1.25099875766,46,42
0.54937,0.24868,0.611149781094,4.19305069159,74,250
0.72486,0.27073,0.0765953849272,2.86325420411,86,40
